,0
 asparagus,1
almonds,153
antioxydant juice,67
asparagus,35
avocado,250
babies food,34
bacon,65
barbecue sauce,81
black tea,107
blueberries,69
body spray,86
bramble,14
brownies,253
bug spray,65
burger sauce,44
burgers,654
butter,226
cake,608
candy bars,73
carrots,115
cauliflower,36
cereals,193
champagne,351
chicken,450
chili,46
chocolate,1229
chocolate bread,32
chutney,31
cider,79
clothes accessories,63
cookies,603
cooking oil,383
corn,36
cottage cheese,239
cream,7
dessert wine,33
eggplant,99
eggs,1348
energy bar,203
energy drink,200
escalope,595
extra dark chocolate,90
flax seed,68
french fries,1282
french wine,169
fresh bread,323
fresh tuna,167
fromage blanc,102
frozen smoothie,475
frozen vegetables,715
gluten free bar,52
grated cheese,393
green beans,65
green grapes,68
green tea,991
ground beef,737
gums,101
ham,199
hand protein bar,39
herb & pepper,371
honey,356
hot dogs,243
ketchup,33
light cream,117
light mayo,204
low fat yogurt,574
magazines,82
mashed potato,31
mayonnaise,46
meatballs,157
melons,90
milk,972
mineral water,1788
mint,131
mint green tea,42
muffins,181
mushroom cream sauce,143
napkins,5
nonfat milk,78
oatmeal,33
oil,173
olive oil,494
pancakes,713
parmesan cheese,149
pasta,118
pepper,199
pet food,49
pickles,45
protein bar,139
red wine,211
rice,141
salad,37
salmon,319
salt,69
sandwich,34
shallot,58
shampoo,37
shrimp,536
soda,47
soup,379
spaghetti,1306
sparkling water,47
spinach,53
strawberries,160
strong cheese,58
tea,29
tomato juice,228
tomato sauce,106
tomatoes,513
toothpaste,61
turkey,469
vegetables mix,193
water spray,3
white wine,124
whole weat flour,70
whole wheat pasta,221
whole wheat rice,439
yams,86
yogurt cake,205
zucchini,71
